Starting training with parameters:
Using CUDA device 0 - NVIDIA L20
Using save prefix "saved_models/model"
Training with SAM: lr=1e-05
	num_epochs: 30
	batch_size: 16
	module 1 weight: 1.0
	module 2 weight: 1.0
******************************** FOLD 0 ******************************
Loaded 1745 training pairs
Embedded successfully...
[1/30] training 6.4%: Loss=0.0480409, MSE=0.0480409, MAE=0.168816
[15/30] training 74.5%: Loss=0.0239293, MSE=0.0239293, MAE=0.116579
[15/30] training 80.0%: Loss=0.0245104, MSE=0.0245104, MAE=0.118292
[15/30] training 85.5%: Loss=0.0243287, MSE=0.0243287, MAE=0.117754
[15/30] training 90.9%: Loss=0.0242403, MSE=0.0242403, MAE=0.117562
[15/30] training 97.3%: Loss=0.024535, MSE=0.024535, MAE=0.1182
-----------------------------------Finished Epoch 15/30: Loss=111.011, RMSE=1.40213, MAE=1.89866, r_2=-0.752575, p=0.603461
[16/30] training 6.4%: Loss=0.021533, MSE=0.021533, MAE=0.11385
[16/30] training 11.8%: Loss=0.0290425, MSE=0.0290425, MAE=0.12305
[16/30] training 17.3%: Loss=0.0281755, MSE=0.0281755, MAE=0.123723
[16/30] training 22.7%: Loss=0.0271314, MSE=0.0271314, MAE=0.121546
[16/30] training 29.1%: Loss=0.0269571, MSE=0.0269571, MAE=0.122542
[16/30] training 34.5%: Loss=0.0261146, MSE=0.0261146, MAE=0.120786
[16/30] training 40.0%: Loss=0.0254654, MSE=0.0254654, MAE=0.120025
[16/30] training 45.5%: Loss=0.0263205, MSE=0.0263205, MAE=0.121428
[16/30] training 51.8%: Loss=0.0262951, MSE=0.0262951, MAE=0.121946
[16/30] training 57.3%: Loss=0.0254375, MSE=0.0254375, MAE=0.119694
[16/30] training 62.7%: Loss=0.0254593, MSE=0.0254593, MAE=0.119571
[16/30] training 68.2%: Loss=0.0260601, MSE=0.0260601, MAE=0.121027
[16/30] training 74.5%: Loss=0.0260091, MSE=0.0260091, MAE=0.121131
[16/30] training 80.0%: Loss=0.0257808, MSE=0.0257808, MAE=0.120093
[16/30] training 85.5%: Loss=0.0255893, MSE=0.0255893, MAE=0.120058
[16/30] training 90.9%: Loss=0.025428, MSE=0.025428, MAE=0.119813
[16/30] training 97.3%: Loss=0.0253671, MSE=0.0253671, MAE=0.119438
-----------------------------------Finished Epoch 16/30: Loss=111.322, RMSE=1.36616, MAE=1.82774, r_2=-0.746124, p=0.618232
[17/30] training 6.4%: Loss=0.0163887, MSE=0.0163887, MAE=0.10006
[17/30] training 11.8%: Loss=0.0167717, MSE=0.0167717, MAE=0.0983605
[17/30] training 17.3%: Loss=0.0188112, MSE=0.0188112, MAE=0.103261
[17/30] training 22.7%: Loss=0.0215602, MSE=0.0215602, MAE=0.109563
[17/30] training 29.1%: Loss=0.0214287, MSE=0.0214287, MAE=0.109405
[17/30] training 34.5%: Loss=0.0216677, MSE=0.0216677, MAE=0.109693
[17/30] training 40.0%: Loss=0.0221311, MSE=0.0221311, MAE=0.109167
[17/30] training 45.5%: Loss=0.0218484, MSE=0.0218484, MAE=0.108998
[17/30] training 51.8%: Loss=0.0226606, MSE=0.0226606, MAE=0.111027
[17/30] training 57.3%: Loss=0.0236259, MSE=0.0236259, MAE=0.112682
[17/30] training 62.7%: Loss=0.0235627, MSE=0.0235627, MAE=0.113245
[17/30] training 68.2%: Loss=0.023821, MSE=0.023821, MAE=0.114225
[17/30] training 74.5%: Loss=0.0238808, MSE=0.0238808, MAE=0.114759
[17/30] training 80.0%: Loss=0.0239452, MSE=0.0239452, MAE=0.114874
[17/30] training 85.5%: Loss=0.0237079, MSE=0.0237079, MAE=0.114275
[17/30] training 90.9%: Loss=0.0236609, MSE=0.0236609, MAE=0.114358
[17/30] training 97.3%: Loss=0.0239959, MSE=0.0239959, MAE=0.115409
-----------------------------------Finished Epoch 17/30: Loss=111.714, RMSE=1.35116, MAE=1.79554, r_2=-0.627184, p=0.617137
[18/30] training 6.4%: Loss=0.0240672, MSE=0.0240672, MAE=0.116893
[18/30] training 11.8%: Loss=0.0254157, MSE=0.0254157, MAE=0.121498
[18/30] training 17.3%: Loss=0.0234498, MSE=0.0234498, MAE=0.117169
[18/30] training 22.7%: Loss=0.0243901, MSE=0.0243901, MAE=0.119631
[18/30] training 29.1%: Loss=0.0252634, MSE=0.0252634, MAE=0.12084
[18/30] training 34.5%: Loss=0.0250598, MSE=0.0250598, MAE=0.12064
[18/30] training 40.0%: Loss=0.0251748, MSE=0.0251748, MAE=0.119186
[18/30] training 45.5%: Loss=0.0248796, MSE=0.0248796, MAE=0.118805
[18/30] training 51.8%: Loss=0.0241911, MSE=0.0241911, MAE=0.11697
[18/30] training 57.3%: Loss=0.0244573, MSE=0.0244573, MAE=0.11763
[18/30] training 62.7%: Loss=0.0242889, MSE=0.0242889, MAE=0.116721
[18/30] training 68.2%: Loss=0.0241162, MSE=0.0241162, MAE=0.116965
[18/30] training 74.5%: Loss=0.023669, MSE=0.023669, MAE=0.115537
[18/30] training 80.0%: Loss=0.0235155, MSE=0.0235155, MAE=0.115029
[18/30] training 85.5%: Loss=0.0234521, MSE=0.0234521, MAE=0.1144
[18/30] training 90.9%: Loss=0.023948, MSE=0.023948, MAE=0.115581
[18/30] training 97.3%: Loss=0.0235846, MSE=0.0235846, MAE=0.114939
-----------------------------------Finished Epoch 18/30: Loss=111.135, RMSE=1.37071, MAE=1.84325, r_2=-0.718867, p=0.623351
[19/30] training 6.4%: Loss=0.0227137, MSE=0.0227137, MAE=0.110668
[19/30] training 11.8%: Loss=0.022266, MSE=0.022266, MAE=0.110226
[19/30] training 17.3%: Loss=0.0219369, MSE=0.0219369, MAE=0.109253
[19/30] training 22.7%: Loss=0.0223838, MSE=0.0223838, MAE=0.112897
[19/30] training 29.1%: Loss=0.0229922, MSE=0.0229922, MAE=0.114997
[19/30] training 34.5%: Loss=0.0229793, MSE=0.0229793, MAE=0.113619
[19/30] training 40.0%: Loss=0.0241971, MSE=0.0241971, MAE=0.115861
[19/30] training 45.5%: Loss=0.023047, MSE=0.023047, MAE=0.113491
[19/30] training 51.8%: Loss=0.0239297, MSE=0.0239297, MAE=0.115027
[19/30] training 57.3%: Loss=0.0240986, MSE=0.0240986, MAE=0.114883
[19/30] training 62.7%: Loss=0.0239687, MSE=0.0239687, MAE=0.115108
[19/30] training 68.2%: Loss=0.0240631, MSE=0.0240631, MAE=0.11538
[19/30] training 74.5%: Loss=0.0245174, MSE=0.0245174, MAE=0.11618
[19/30] training 80.0%: Loss=0.0244632, MSE=0.0244632, MAE=0.116118
[19/30] training 85.5%: Loss=0.0242971, MSE=0.0242971, MAE=0.115851
[19/30] training 90.9%: Loss=0.0242579, MSE=0.0242579, MAE=0.115584
[19/30] training 97.3%: Loss=0.0240931, MSE=0.0240931, MAE=0.115705
-----------------------------------Finished Epoch 19/30: Loss=111.387, RMSE=1.36099, MAE=1.81753, r_2=-0.766204, p=0.620156
[20/30] training 6.4%: Loss=0.0237815, MSE=0.0237815, MAE=0.119472
[20/30] training 11.8%: Loss=0.0214129, MSE=0.0214129, MAE=0.108771
[20/30] training 17.3%: Loss=0.0261564, MSE=0.0261564, MAE=0.119665
[20/30] training 22.7%: Loss=0.0256068, MSE=0.0256068, MAE=0.117548
[20/30] training 29.1%: Loss=0.0258409, MSE=0.0258409, MAE=0.118068
[20/30] training 34.5%: Loss=0.0259529, MSE=0.0259529, MAE=0.118704
[20/30] training 40.0%: Loss=0.0248637, MSE=0.0248637, MAE=0.116101
[20/30] training 45.5%: Loss=0.0237446, MSE=0.0237446, MAE=0.113559
[20/30] training 51.8%: Loss=0.0243877, MSE=0.0243877, MAE=0.114755
[20/30] training 57.3%: Loss=0.024754, MSE=0.024754, MAE=0.115796
[20/30] training 62.7%: Loss=0.0244889, MSE=0.0244889, MAE=0.115377
[20/30] training 68.2%: Loss=0.0243613, MSE=0.0243613, MAE=0.114751
[20/30] training 74.5%: Loss=0.0240539, MSE=0.0240539, MAE=0.113727
[20/30] training 80.0%: Loss=0.0238849, MSE=0.0238849, MAE=0.113745
[20/30] training 85.5%: Loss=0.0241436, MSE=0.0241436, MAE=0.114626
[20/30] training 90.9%: Loss=0.0236638, MSE=0.0236638, MAE=0.113601
[20/30] training 97.3%: Loss=0.0242316, MSE=0.0242316, MAE=0.114535
-----------------------------------Finished Epoch 20/30: Loss=110.9, RMSE=1.39346, MAE=1.88547, r_2=-0.712666, p=0.621632
[21/30] training 6.4%: Loss=0.0220017, MSE=0.0220017, MAE=0.115575
[21/30] training 11.8%: Loss=0.0206654, MSE=0.0206654, MAE=0.11224
[21/30] training 17.3%: Loss=0.026161, MSE=0.026161, MAE=0.118822
[21/30] training 22.7%: Loss=0.0265678, MSE=0.0265678, MAE=0.118285
[21/30] training 29.1%: Loss=0.0249441, MSE=0.0249441, MAE=0.116484
[21/30] training 34.5%: Loss=0.0245008, MSE=0.0245008, MAE=0.116287
[21/30] training 40.0%: Loss=0.0244933, MSE=0.0244933, MAE=0.115928
[21/30] training 45.5%: Loss=0.02541, MSE=0.02541, MAE=0.117949
[21/30] training 51.8%: Loss=0.0248997, MSE=0.0248997, MAE=0.117352
[21/30] training 57.3%: Loss=0.0244918, MSE=0.0244918, MAE=0.115982
[21/30] training 62.7%: Loss=0.0243902, MSE=0.0243902, MAE=0.115979
[21/30] training 68.2%: Loss=0.0243223, MSE=0.0243223, MAE=0.116196
[21/30] training 74.5%: Loss=0.0237755, MSE=0.0237755, MAE=0.114561
[21/30] training 80.0%: Loss=0.0236253, MSE=0.0236253, MAE=0.114342
[21/30] training 85.5%: Loss=0.0239689, MSE=0.0239689, MAE=0.114844
[21/30] training 90.9%: Loss=0.0239957, MSE=0.0239957, MAE=0.115248
[21/30] training 97.3%: Loss=0.0242714, MSE=0.0242714, MAE=0.115755
-----------------------------------Finished Epoch 21/30: Loss=111.048, RMSE=1.37097, MAE=1.84926, r_2=-0.62857, p=0.626873
[22/30] training 6.4%: Loss=0.0221332, MSE=0.0221332, MAE=0.118013
[22/30] training 11.8%: Loss=0.0231154, MSE=0.0231154, MAE=0.117909
[22/30] training 17.3%: Loss=0.0224928, MSE=0.0224928, MAE=0.113577
[22/30] training 22.7%: Loss=0.0238336, MSE=0.0238336, MAE=0.116181
[22/30] training 29.1%: Loss=0.0219829, MSE=0.0219829, MAE=0.112355
[22/30] training 34.5%: Loss=0.0214445, MSE=0.0214445, MAE=0.111551
[22/30] training 40.0%: Loss=0.0211467, MSE=0.0211467, MAE=0.110964
[22/30] training 45.5%: Loss=0.0216905, MSE=0.0216905, MAE=0.111294
[22/30] training 51.8%: Loss=0.0217276, MSE=0.0217276, MAE=0.110347
[22/30] training 57.3%: Loss=0.0220042, MSE=0.0220042, MAE=0.110942
[22/30] training 62.7%: Loss=0.0217077, MSE=0.0217077, MAE=0.109721
[22/30] training 68.2%: Loss=0.0228119, MSE=0.0228119, MAE=0.111617
[22/30] training 74.5%: Loss=0.0229332, MSE=0.0229332, MAE=0.111898
[22/30] training 80.0%: Loss=0.0234654, MSE=0.0234654, MAE=0.112999
[22/30] training 85.5%: Loss=0.0232073, MSE=0.0232074, MAE=0.112666
[22/30] training 90.9%: Loss=0.0231945, MSE=0.0231945, MAE=0.112724
[22/30] training 97.3%: Loss=0.0236891, MSE=0.0236891, MAE=0.113609
-----------------------------------Finished Epoch 22/30: Loss=110.686, RMSE=1.42991, MAE=1.90728, r_2=-0.866656, p=0.635261
[23/30] training 6.4%: Loss=0.0133177, MSE=0.0133177, MAE=0.0919209
[23/30] training 11.8%: Loss=0.0159335, MSE=0.0159335, MAE=0.0987887
[23/30] training 17.3%: Loss=0.0191913, MSE=0.0191913, MAE=0.105355
[23/30] training 22.7%: Loss=0.0217497, MSE=0.0217497, MAE=0.111242
[23/30] training 29.1%: Loss=0.0221618, MSE=0.0221618, MAE=0.112738
[23/30] training 34.5%: Loss=0.022888, MSE=0.022888, MAE=0.115402
[23/30] training 40.0%: Loss=0.0235575, MSE=0.0235575, MAE=0.116551
[23/30] training 45.5%: Loss=0.0223518, MSE=0.0223518, MAE=0.113746
[23/30] training 51.8%: Loss=0.0230663, MSE=0.0230663, MAE=0.115142
[23/30] training 57.3%: Loss=0.0230662, MSE=0.0230662, MAE=0.115086
[23/30] training 62.7%: Loss=0.0235953, MSE=0.0235953, MAE=0.115753
[23/30] training 68.2%: Loss=0.023528, MSE=0.023528, MAE=0.115247
[23/30] training 74.5%: Loss=0.0236225, MSE=0.0236225, MAE=0.115022
[23/30] training 80.0%: Loss=0.0233408, MSE=0.0233408, MAE=0.114202
[23/30] training 85.5%: Loss=0.0234148, MSE=0.0234148, MAE=0.11369
[23/30] training 90.9%: Loss=0.0237053, MSE=0.0237053, MAE=0.113861
[23/30] training 97.3%: Loss=0.0237105, MSE=0.0237105, MAE=0.114049
-----------------------------------Finished Epoch 23/30: Loss=110.629, RMSE=1.42896, MAE=1.91994, r_2=-0.739512, p=0.633502
[24/30] training 6.4%: Loss=0.0217513, MSE=0.0217513, MAE=0.107496
[24/30] training 11.8%: Loss=0.0220519, MSE=0.0220519, MAE=0.1072
[24/30] training 17.3%: Loss=0.0221099, MSE=0.0221099, MAE=0.10961
[24/30] training 22.7%: Loss=0.0213258, MSE=0.0213258, MAE=0.108494
[24/30] training 29.1%: Loss=0.0214358, MSE=0.0214358, MAE=0.109437
[24/30] training 34.5%: Loss=0.0228928, MSE=0.0228928, MAE=0.112631
[24/30] training 40.0%: Loss=0.0229399, MSE=0.0229399, MAE=0.111579
[24/30] training 45.5%: Loss=0.0240559, MSE=0.0240559, MAE=0.115334
[24/30] training 51.8%: Loss=0.023899, MSE=0.023899, MAE=0.115308
[24/30] training 57.3%: Loss=0.0243802, MSE=0.0243802, MAE=0.116724
[24/30] training 62.7%: Loss=0.024402, MSE=0.024402, MAE=0.117061
[24/30] training 68.2%: Loss=0.0240021, MSE=0.0240021, MAE=0.115819
[24/30] training 74.5%: Loss=0.0236558, MSE=0.0236558, MAE=0.114406
[24/30] training 80.0%: Loss=0.0235842, MSE=0.0235842, MAE=0.11412
[24/30] training 85.5%: Loss=0.0233198, MSE=0.0233198, MAE=0.113481
[24/30] training 90.9%: Loss=0.0232317, MSE=0.0232317, MAE=0.113663
[24/30] training 97.3%: Loss=0.023297, MSE=0.023297, MAE=0.113753
-----------------------------------Finished Epoch 24/30: Loss=110.481, RMSE=1.45072, MAE=1.95524, r_2=-0.919705, p=0.635409
[25/30] training 6.4%: Loss=0.0282907, MSE=0.0282907, MAE=0.11644
[25/30] training 11.8%: Loss=0.0272009, MSE=0.0272009, MAE=0.117051
[25/30] training 17.3%: Loss=0.0289046, MSE=0.0289046, MAE=0.121041
[25/30] training 22.7%: Loss=0.0261332, MSE=0.0261332, MAE=0.115133
[25/30] training 29.1%: Loss=0.0256867, MSE=0.0256867, MAE=0.115101
[25/30] training 34.5%: Loss=0.0246636, MSE=0.0246636, MAE=0.114446
[25/30] training 40.0%: Loss=0.0241009, MSE=0.0241009, MAE=0.113157
[25/30] training 45.5%: Loss=0.023654, MSE=0.023654, MAE=0.112654
[25/30] training 51.8%: Loss=0.0242372, MSE=0.0242372, MAE=0.114772
[25/30] training 57.3%: Loss=0.0242414, MSE=0.0242414, MAE=0.114893
[25/30] training 62.7%: Loss=0.0238553, MSE=0.0238553, MAE=0.114293
[25/30] training 68.2%: Loss=0.023336, MSE=0.023336, MAE=0.112897
[25/30] training 74.5%: Loss=0.0234495, MSE=0.0234495, MAE=0.113287
[25/30] training 80.0%: Loss=0.0230856, MSE=0.0230856, MAE=0.112504
[25/30] training 85.5%: Loss=0.0227541, MSE=0.0227541, MAE=0.11166
[25/30] training 90.9%: Loss=0.0228036, MSE=0.0228036, MAE=0.111717
[25/30] training 97.3%: Loss=0.0231418, MSE=0.0231418, MAE=0.112823
-----------------------------------Finished Epoch 25/30: Loss=110.738, RMSE=1.41333, MAE=1.90409, r_2=-0.665007, p=0.628679
[26/30] training 6.4%: Loss=0.0245613, MSE=0.0245613, MAE=0.116253
[26/30] training 11.8%: Loss=0.0276532, MSE=0.0276532, MAE=0.122233
[26/30] training 17.3%: Loss=0.0257118, MSE=0.0257118, MAE=0.118225
[26/30] training 22.7%: Loss=0.0258649, MSE=0.0258649, MAE=0.117759
[26/30] training 29.1%: Loss=0.0263706, MSE=0.0263706, MAE=0.120174
[26/30] training 34.5%: Loss=0.0261874, MSE=0.0261874, MAE=0.119697
[26/30] training 40.0%: Loss=0.0257229, MSE=0.0257229, MAE=0.119185
[26/30] training 45.5%: Loss=0.0258576, MSE=0.0258576, MAE=0.119042
[26/30] training 51.8%: Loss=0.0261698, MSE=0.0261698, MAE=0.119844
[26/30] training 57.3%: Loss=0.0260041, MSE=0.0260041, MAE=0.11971
[26/30] training 62.7%: Loss=0.0250784, MSE=0.0250784, MAE=0.116949
[26/30] training 68.2%: Loss=0.024892, MSE=0.024892, MAE=0.116865
[26/30] training 74.5%: Loss=0.0242027, MSE=0.0242027, MAE=0.115412
[26/30] training 80.0%: Loss=0.0233468, MSE=0.0233468, MAE=0.113473
[26/30] training 85.5%: Loss=0.0230829, MSE=0.0230829, MAE=0.11262
[26/30] training 90.9%: Loss=0.0230706, MSE=0.0230706, MAE=0.113251
[26/30] training 97.3%: Loss=0.0227834, MSE=0.0227834, MAE=0.112696
-----------------------------------Finished Epoch 26/30: Loss=111.454, RMSE=1.33083, MAE=1.78706, r_2=-0.368805, p=0.632003
[27/30] training 6.4%: Loss=0.0189795, MSE=0.0189795, MAE=0.10906
[27/30] training 11.8%: Loss=0.022721, MSE=0.022721, MAE=0.115886
[27/30] training 17.3%: Loss=0.0208218, MSE=0.0208218, MAE=0.109642
[27/30] training 22.7%: Loss=0.0210698, MSE=0.0210698, MAE=0.110052
[27/30] training 29.1%: Loss=0.022183, MSE=0.022183, MAE=0.109864
[27/30] training 34.5%: Loss=0.0213396, MSE=0.0213396, MAE=0.107276
[27/30] training 40.0%: Loss=0.0215737, MSE=0.0215737, MAE=0.108671
[27/30] training 45.5%: Loss=0.0223779, MSE=0.0223779, MAE=0.110362
[27/30] training 51.8%: Loss=0.0227449, MSE=0.0227449, MAE=0.110004
[27/30] training 57.3%: Loss=0.0236946, MSE=0.0236946, MAE=0.112214
[27/30] training 62.7%: Loss=0.0234522, MSE=0.0234522, MAE=0.112153
[27/30] training 68.2%: Loss=0.0231954, MSE=0.0231954, MAE=0.112126
[27/30] training 74.5%: Loss=0.0229461, MSE=0.0229461, MAE=0.111562
[27/30] training 80.0%: Loss=0.0228732, MSE=0.0228732, MAE=0.111311
[27/30] training 85.5%: Loss=0.0228436, MSE=0.0228436, MAE=0.111474
[27/30] training 90.9%: Loss=0.0228268, MSE=0.0228268, MAE=0.111729
[27/30] training 97.3%: Loss=0.0225643, MSE=0.0225643, MAE=0.11131
-----------------------------------Finished Epoch 27/30: Loss=110.615, RMSE=1.4099, MAE=1.90196, r_2=-0.650324, p=0.644325
[28/30] training 6.4%: Loss=0.0191244, MSE=0.0191244, MAE=0.105281
[28/30] training 11.8%: Loss=0.0200303, MSE=0.0200303, MAE=0.106015
[28/30] training 17.3%: Loss=0.0230159, MSE=0.0230159, MAE=0.113675
[28/30] training 22.7%: Loss=0.0222802, MSE=0.0222802, MAE=0.113995
[28/30] training 29.1%: Loss=0.0212792, MSE=0.0212792, MAE=0.111929
[28/30] training 34.5%: Loss=0.0218587, MSE=0.0218587, MAE=0.112963
[28/30] training 40.0%: Loss=0.0219319, MSE=0.0219319, MAE=0.113404
[28/30] training 45.5%: Loss=0.0216262, MSE=0.0216262, MAE=0.112487
[28/30] training 51.8%: Loss=0.0222665, MSE=0.0222665, MAE=0.113537
[28/30] training 57.3%: Loss=0.0232831, MSE=0.0232831, MAE=0.115594
[28/30] training 62.7%: Loss=0.0227102, MSE=0.0227102, MAE=0.11406
[28/30] training 68.2%: Loss=0.0224238, MSE=0.0224238, MAE=0.113108
[28/30] training 74.5%: Loss=0.0225269, MSE=0.0225269, MAE=0.113512
[28/30] training 80.0%: Loss=0.0229092, MSE=0.0229092, MAE=0.114403
[28/30] training 85.5%: Loss=0.023271, MSE=0.023271, MAE=0.114823
[28/30] training 90.9%: Loss=0.0232816, MSE=0.0232816, MAE=0.114857
[28/30] training 97.3%: Loss=0.0230674, MSE=0.0230674, MAE=0.114053
-----------------------------------Finished Epoch 28/30: Loss=110.823, RMSE=1.36251, MAE=1.86009, r_2=-0.581112, p=0.642485
[29/30] training 6.4%: Loss=0.0269328, MSE=0.0269328, MAE=0.124258
[29/30] training 11.8%: Loss=0.0251034, MSE=0.0251034, MAE=0.119638
[29/30] training 17.3%: Loss=0.0254343, MSE=0.0254343, MAE=0.120424
[29/30] training 22.7%: Loss=0.0250632, MSE=0.0250632, MAE=0.118736
[29/30] training 29.1%: Loss=0.0246657, MSE=0.0246657, MAE=0.117326
[29/30] training 34.5%: Loss=0.0252712, MSE=0.0252712, MAE=0.117612
[29/30] training 40.0%: Loss=0.0250775, MSE=0.0250775, MAE=0.117987
[29/30] training 45.5%: Loss=0.0255085, MSE=0.0255085, MAE=0.118455
[29/30] training 51.8%: Loss=0.0244484, MSE=0.0244484, MAE=0.116139
[29/30] training 57.3%: Loss=0.0243645, MSE=0.0243645, MAE=0.116164
[29/30] training 62.7%: Loss=0.0241153, MSE=0.0241153, MAE=0.115913
[29/30] training 68.2%: Loss=0.0241876, MSE=0.0241876, MAE=0.115886
[29/30] training 74.5%: Loss=0.0235244, MSE=0.0235244, MAE=0.114962
[29/30] training 80.0%: Loss=0.0232573, MSE=0.0232573, MAE=0.114871
[29/30] training 85.5%: Loss=0.022944, MSE=0.022944, MAE=0.114331
[29/30] training 90.9%: Loss=0.022891, MSE=0.022891, MAE=0.114361
[29/30] training 97.3%: Loss=0.0225196, MSE=0.0225196, MAE=0.112799
-----------------------------------Finished Epoch 29/30: Loss=110.67, RMSE=1.38261, MAE=1.877, r_2=-0.725987, p=0.652499
[30/30] training 6.4%: Loss=0.0343103, MSE=0.0343103, MAE=0.12804
[30/30] training 11.8%: Loss=0.0262527, MSE=0.0262527, MAE=0.113383
[30/30] training 17.3%: Loss=0.0234594, MSE=0.0234594, MAE=0.109785
[30/30] training 22.7%: Loss=0.0225012, MSE=0.0225012, MAE=0.10759
[30/30] training 29.1%: Loss=0.0227877, MSE=0.0227877, MAE=0.108785
[30/30] training 34.5%: Loss=0.0218207, MSE=0.0218207, MAE=0.107076
[30/30] training 40.0%: Loss=0.0225895, MSE=0.0225895, MAE=0.110085
[30/30] training 45.5%: Loss=0.0220387, MSE=0.0220387, MAE=0.1096
[30/30] training 51.8%: Loss=0.0218604, MSE=0.0218604, MAE=0.109139
[30/30] training 57.3%: Loss=0.0222835, MSE=0.0222835, MAE=0.110204
[30/30] training 62.7%: Loss=0.0223305, MSE=0.0223305, MAE=0.11027
[30/30] training 68.2%: Loss=0.022341, MSE=0.022341, MAE=0.110326
[30/30] training 74.5%: Loss=0.022207, MSE=0.022207, MAE=0.11021
[30/30] training 80.0%: Loss=0.0226183, MSE=0.0226183, MAE=0.110435
[30/30] training 85.5%: Loss=0.0229944, MSE=0.0229944, MAE=0.111475
[30/30] training 90.9%: Loss=0.0228485, MSE=0.0228485, MAE=0.111368
[30/30] training 97.3%: Loss=0.0226117, MSE=0.0226117, MAE=0.111214
-----------------------------------Finished Epoch 30/30: Loss=110.288, RMSE=1.48222, MAE=1.97338, r_2=-0.90898, p=0.65332
Saving final model to saved_models/model_fold4_final.pth
******************************** FOLD 5 ******************************
Loaded 1745 training pairs
Embedded successfully...
[1/30] training 6.4%: Loss=0.0431664, MSE=0.0431664, MAE=0.165687
[1/30] training 11.8%: Loss=0.0438025, MSE=0.0438025, MAE=0.162666
[1/30] training 17.3%: Loss=0.0416259, MSE=0.0416259, MAE=0.159428
[1/30] training 22.7%: Loss=0.0460932, MSE=0.0460932, MAE=0.166405
[1/30] training 29.1%: Loss=0.0441458, MSE=0.0441459, MAE=0.163047
[1/30] training 34.5%: Loss=0.0445158, MSE=0.0445158, MAE=0.165019
[1/30] training 40.0%: Loss=0.0451367, MSE=0.0451367, MAE=0.16586
[1/30] training 45.5%: Loss=0.0442755, MSE=0.0442755, MAE=0.164487
[1/30] training 51.8%: Loss=0.0451077, MSE=0.0451077, MAE=0.166141
[1/30] training 57.3%: Loss=0.0445498, MSE=0.0445499, MAE=0.164957
[1/30] training 62.7%: Loss=0.0443957, MSE=0.0443957, MAE=0.164655
[1/30] training 68.2%: Loss=0.0434002, MSE=0.0434002, MAE=0.162595
[1/30] training 74.5%: Loss=0.0430467, MSE=0.0430467, MAE=0.161966
[1/30] training 80.0%: Loss=0.0428938, MSE=0.0428938, MAE=0.161803
[1/30] training 85.5%: Loss=0.0424455, MSE=0.0424455, MAE=0.161036
[1/30] training 90.9%: Loss=0.0420053, MSE=0.0420053, MAE=0.160289
[1/30] training 97.3%: Loss=0.0417675, MSE=0.0417675, MAE=0.159935
-----------------------------------Finished Epoch 1/30: Loss=111.678, RMSE=1.59217, MAE=2.16126, r_2=-18.4796, p=0.261709
[2/30] training 6.4%: Loss=0.0283795, MSE=0.0283795, MAE=0.135382
[2/30] training 11.8%: Loss=0.0331204, MSE=0.0331204, MAE=0.148248
[2/30] training 17.3%: Loss=0.0333687, MSE=0.0333687, MAE=0.145035
[2/30] training 22.7%: Loss=0.0365086, MSE=0.0365086, MAE=0.149864
[2/30] training 29.1%: Loss=0.0377655, MSE=0.0377655, MAE=0.152811
[2/30] training 34.5%: Loss=0.0383339, MSE=0.0383339, MAE=0.154936
[2/30] training 40.0%: Loss=0.0373837, MSE=0.0373837, MAE=0.153747
[2/30] training 45.5%: Loss=0.037749, MSE=0.037749, MAE=0.153818
[2/30] training 51.8%: Loss=0.0377457, MSE=0.0377457, MAE=0.154459
[2/30] training 57.3%: Loss=0.0376205, MSE=0.0376205, MAE=0.153527
[2/30] training 62.7%: Loss=0.0379339, MSE=0.0379339, MAE=0.153454
[2/30] training 68.2%: Loss=0.0381617, MSE=0.0381617, MAE=0.154337
[2/30] training 74.5%: Loss=0.0383463, MSE=0.0383463, MAE=0.153785
[2/30] training 80.0%: Loss=0.0383518, MSE=0.0383518, MAE=0.153645
[2/30] training 85.5%: Loss=0.0382005, MSE=0.0382005, MAE=0.153342
[2/30] training 90.9%: Loss=0.0377525, MSE=0.0377525, MAE=0.152355
[2/30] training 97.3%: Loss=0.0372797, MSE=0.0372797, MAE=0.151525
-----------------------------------Finished Epoch 2/30: Loss=111.67, RMSE=1.51189, MAE=2.04722, r_2=-8.65772, p=0.421209
[3/30] training 6.4%: Loss=0.0300317, MSE=0.0300317, MAE=0.134509
[3/30] training 11.8%: Loss=0.0365171, MSE=0.0365171, MAE=0.148715
[3/30] training 17.3%: Loss=0.0347473, MSE=0.0347473, MAE=0.146223
[3/30] training 22.7%: Loss=0.0350739, MSE=0.0350739, MAE=0.144336
[3/30] training 29.1%: Loss=0.0344526, MSE=0.0344526, MAE=0.144047
[3/30] training 34.5%: Loss=0.0361247, MSE=0.0361247, MAE=0.1479
[3/30] training 40.0%: Loss=0.0359057, MSE=0.0359057, MAE=0.147845
[3/30] training 45.5%: Loss=0.0352228, MSE=0.0352228, MAE=0.147347
[3/30] training 51.8%: Loss=0.0344964, MSE=0.0344964, MAE=0.146146
[3/30] training 57.3%: Loss=0.0337175, MSE=0.0337175, MAE=0.144527
[3/30] training 62.7%: Loss=0.0337804, MSE=0.0337804, MAE=0.144594
[3/30] training 68.2%: Loss=0.03343, MSE=0.03343, MAE=0.143397
[3/30] training 74.5%: Loss=0.0333325, MSE=0.0333325, MAE=0.142734
[3/30] training 80.0%: Loss=0.0336032, MSE=0.0336032, MAE=0.143031
[3/30] training 85.5%: Loss=0.0331051, MSE=0.0331051, MAE=0.142456
